dimension	level	transcripts	usable	usable_fraction	mean_fitted_probability
exon_count	20	1034	268	0.25918762088974856	0.25561249716971723
exon_count	21	899	221	0.24582869855394884	0.25659017103268295
exon_count	22	773	202	0.2613195342820181	0.263085581547613
exon_count	23	738	168	0.22764227642276422	0.2359822516824057
exon_count	24	545	130	0.23853211009174313	0.2422639219694339
exon_count	25	484	90	0.1859504132231405	0.23134485553590944
exon_count	26	462	100	0.21645021645021645	0.23961759476508612
exon_count	27	375	80	0.21333333333333335	0.24099687167205025
exon_count	28	371	77	0.20754716981132076	0.21172021310862002
exon_count	29	335	62	0.18507462686567164	0.22372748580108257
exon_count	30	296	48	0.16216216216216217	0.21234683743529004
exon_count	31	252	58	0.23015873015873015	0.28039002280428965
exon_count	32	212	61	0.28773584905660377	0.28378548028255257
exon_count	33	169	35	0.20710059171597633	0.22843764394717975
exon_count	34	131	29	0.22137404580152673	0.2303932495726871
exon_count	35	129	32	0.24806201550387597	0.23551661693660816
exon_count	36	113	19	0.168141592920354	0.19555102981741793
exon_count	37	94	18	0.19148936170212766	0.25999519064811505
exon_count	38	91	8	0.08791208791208792	0.22793790099948533
exon_count	39	98	14	0.14285714285714285	0.18727530531140463
exon_count	40	68	15	0.22058823529411764	0.2676984125462595
exon_count	41	76	19	0.25	0.2787632975913694
exon_count	42	56	9	0.16071428571428573	0.22221712114435818
exon_count	43	47	11	0.23404255319148937	0.271943922126386
exon_count	44	40	6	0.15	0.21978448651433827
exon_count	45	39	9	0.23076923076923078	0.2239603928799393
exon_count	46	46	7	0.15217391304347827	0.250425414645871
exon_count	47	71	14	0.19718309859154928	0.26685476968698263
exon_count	48	53	6	0.11320754716981132	0.2530382023118341
exon_count	49	31	8	0.25806451612903225	0.234103775433853
exon_count	50	12	1	0.08333333333333333	0.07172056332677881
exon_count	51	15	2	0.13333333333333333	0.19958866234306635
exon_count	52	22	1	0.045454545454545456	0.16688457993586103
exon_count	53	24	2	0.08333333333333333	0.1300732631291699
exon_count	54	10	2	0.2	0.21307227129929568
exon_count	55	14	1	0.07142857142857142	0.31664221134369525
exon_count	56	18	0	0.0	0.21077226909490898
exon_count	57	13	1	0.07692307692307693	0.17867744073742936
exon_count	58	15	3	0.2	0.2145676186411308
exon_count	59	15	1	0.06666666666666667	0.14844902180916056
exon_count	60	2	0	0.0	0.03900390270796231
exon_count	61	8	0	0.0	0.04391615610419147
exon_count	62	10	0	0.0	0.0325484456839079
exon_count	63	11	1	0.09090909090909091	0.15892781677925338
exon_count	64	12	0	0.0	0.15150138979260266
exon_count	65	10	0	0.0	0.08212948131339896
exon_count	66	8	0	0.0	0.14688806871567114
exon_count	67	11	1	0.09090909090909091	0.0807635021937872
exon_count	68	9	0	0.0	0.08312354619825146
exon_count	69	8	0	0.0	0.17518505828157055
exon_count	70	6	1	0.16666666666666666	0.12904813791793557
exon_count	71	13	2	0.15384615384615385	0.17062243360296478
exon_count	72	5	1	0.2	0.20145176349324193
exon_count	74	6	0	0.0	0.045461637853876614
exon_count	75	2	0	0.0	0.07465795007978158
exon_count	76	4	0	0.0	0.21611155821645373
exon_count	77	3	0	0.0	0.06691330006937087
exon_count	78	6	1	0.16666666666666666	0.12844903475315708
exon_count	79	4	0	0.0	0.006099488384979711
exon_count	80	3	1	0.3333333333333333	0.3454904392975247
exon_count	81	6	1	0.16666666666666666	0.08403046047052383
