runname	mix	protocol	method	quantity	n_truth	n_rows_observed	n_positive	observed_fraction	positive_fraction	rank_spearman	median_abs_log10_relative_error	median_signed_log10_relative_error	truth_source	missing_sparse_rows_are_not_zero
allSpikinReadsCombined_SIRV-4_cDNA	SIRV-4	cDNA	NanoCount_lr	normEst	337	162	162	0.4807121661721068	0.4807121661721068	0.7133034686918587	1.2565025492129	1.1814421401317337	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_cDNA	SIRV-4	cDNA	salmon_lr	estimates	337	332	168	0.9851632047477745	0.49851632047477745	0.7177330168302537	1.269973505732767	1.2264241063637449	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_cDNA	SIRV-4	cDNA	salmon_lr	normEst	337	332	168	0.9851632047477745	0.49851632047477745	0.7177330168302537	1.2699735057327668	1.2264241063637447	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_cDNA_sorted	SIRV-4_cDNA	cDNA	bambu_lr	estimates	337	335	166	0.9940652818991098	0.49258160237388726	0.6764776033682454	1.2863024591136745	1.2062454834905099	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_cDNA_sorted	SIRV-4_cDNA	cDNA	bambu_lr	normEst	337	335	166	0.9940652818991098	0.49258160237388726	0.6764776033682454	1.2863024591136751	1.2062454834905094	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_directRNA	SIRV-4	directRNA	NanoCount_lr	estimates	337	103	103	0.3056379821958457	0.3056379821958457	0.31402109401780764	0.8166112363177668	0.7013888129244604	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_directRNA	SIRV-4	directRNA	NanoCount_lr	normEst	337	103	103	0.3056379821958457	0.3056379821958457	0.31402109401780764	0.8166112363177668	0.7013888129244612	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_directRNA	SIRV-4	directRNA	salmon_lr	estimates	337	332	98	0.9851632047477745	0.29080118694362017	0.40473475993359537	0.8453429770320582	0.7080245433749504	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_directRNA	SIRV-4	directRNA	salmon_lr	normEst	337	332	98	0.9851632047477745	0.29080118694362017	0.40473475993359537	0.8453429770320591	0.7080245433749504	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_directRNA_sorted	SIRV-4_directRNA	directRNA	bambu_lr	estimates	337	335	102	0.9940652818991098	0.3026706231454006	0.38509057389373796	0.807399227554318	0.7642862068535756	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_directRNA_sorted	SIRV-4_directRNA	directRNA	bambu_lr	normEst	337	335	102	0.9940652818991098	0.3026706231454006	0.38509057389373796	0.8073992275543184	0.7642862068535754	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_directcDNA	SIRV-4	directcDNA	NanoCount_lr	estimates	337	148	148	0.4391691394658754	0.4391691394658754	0.6538395140539064	1.2126719616954675	1.1930408168395166	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_directcDNA	SIRV-4	directcDNA	NanoCount_lr	normEst	337	148	148	0.4391691394658754	0.4391691394658754	0.6538395140539064	1.212671961695468	1.1930408168395163	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_directcDNA	SIRV-4	directcDNA	salmon_lr	estimates	337	332	151	0.9851632047477745	0.44807121661721067	0.7668608662628011	1.337657405415249	1.3146547655544834	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_directcDNA	SIRV-4	directcDNA	salmon_lr	normEst	337	332	151	0.9851632047477745	0.44807121661721067	0.7668608662628011	1.3376574054152492	1.3146547655544836	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_directcDNA_sorted	SIRV-4_directcDNA	directcDNA	bambu_lr	estimates	337	335	160	0.9940652818991098	0.47477744807121663	0.6823869304311841	1.326986886454363	1.3047104920396893	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_directcDNA_sorted	SIRV-4_directcDNA	directcDNA	bambu_lr	normEst	337	335	160	0.9940652818991098	0.47477744807121663	0.6823869304311841	1.3269868864543635	1.304710492039689	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_Illumina	sequinMixAV2	Illumina	rsem_sr	estimates	337	335	143	0.9940652818991098	0.42433234421364985	-0.00874001028172571	1.6468488131461423	0.8049148220343396	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_Illumina	sequinMixAV2	Illumina	rsem_sr	normEst	337	335	143	0.9940652818991098	0.42433234421364985	-0.00874001028172571	1.6468488131461423	0.8049148220343396	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_sequinMixAV2_Illumina	sequinMixAV2	Illumina	salmon_sr	estimates	337	332	154	0.9851632047477745	0.456973293768546	-0.02345695594274104	1.6511071971598024	0.8087596832939732	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
